"","Source","Stakeholder","Response","assignment","sentiment"
"445","All External workshop form responses","All","Clinical interoperability. This needs a full set of FHIR R4 Profiles, specifying all identifiers and codes required to achieve all relevant use cases. A big job.","Data access and interoperability for the frontline",0
"446","All External workshop form responses","All","clean, safe useable data. it can be used for individual direct real time care, for population health management, business management and planning, real time, real world, at scale. Also the dialogue with citizens about why and how we need to use their data will be better and we will be able to use their data as a matter of course","Data access and interoperability for the frontline",0.896
"447","All External workshop form responses","All","a single, interoperable framework of data sharing and integration opportunities, with associated funding for those organisations which will develop and take on the idea","Data access and interoperability for the frontline",0.66
"448","All External workshop form responses","All","A clear framework to provide a competitive environment to connectivity into a secure gateway to those services that we need to be delivered.","Data access and interoperability for the frontline",0.691
"449","All External workshop form responses","All","Actual parity of esteem between social care and health - reality is this looks like an NHS App and all about NHS services - how would people actually access support for social care - would all local authorities also be linked to a new NHS and social care App? Is this just about data sharing behind the scenes so not really about what people see front-facing.","Data access and interoperability for the frontline",0.949
"450","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Online medication lists, detailing the most up to date drug and prescribing information","Data access and interoperability for the frontline",0
"451","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Pathways, transition from children to adults. Signposting, local offers, waiting list updates. Easy read","Data access and interoperability for the frontline",0.44
"452","Personalised Care Group Session Responses - Strategic Co-Production Group","All","A single patient record with appropriate information access shared across care sector areas (a digital solution may not be suitable for everyone to be accessible, audio, easy read etc but there will always be the exception - need to ensure this is done from the start)","Data access and interoperability for the frontline",0.832
"453","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Continuing telephone appointments and video conferencing which is deployable across the  NHS","Data access and interoperability for the frontline",0
"454","Personalised Care Group Session Responses - End of Life","All","That there is a consistent offer across the country, that wherever you are you have the same experience, that if you are on holiday or visiting someone or moved there are no barriers to accessing your plan when you need to enact it.","Data access and interoperability for the frontline",0.128
"455","Personalised Care Group Session Responses - End of Life","All","That all systems are integrated, across agencies and regions.","Data access and interoperability for the frontline",0
"456","Personalised Care Group Session Responses - NHS@home","All","Care homes having access to NHS mail and carer support organisations already have access to any NHS mail, so we’ve got direct links now between for example primary care and some voluntary sector organisations, where they can literally click on the button and go straight there.","Data access and interoperability for the frontline",0.875
"457","Personalised Care Group Session Responses - NHS@home","All","Open EHR – Remove siloed information, build something once in the open, so that it can be used by everybody, further improved, hosted on github for further use, which is an approach used by local authorities.","Data access and interoperability for the frontline",0.477
"458","Personalised Care Group Session Responses - Industry Feedback","All","Care plans are accessible across relevant organisations, they are automatically updated whether that is in the patient record or for access by the ambulance crew.","Data access and interoperability for the frontline",0.494
"459","Personalised Care Group Session Responses - Industry Feedback","All","Midwife or care professional being able to sync that data out. So whether they are using a Federated authentication model, so that from your generic portal you're leaping into that specialized pregnancy view, or whether you want us to send the discrete data to and from it joins the national magnet single pregnancy record so that when a woman moves between trust, she's not saying the same story every time to.","Data access and interoperability for the frontline",0.778
"460","Personalised Care Group Session Responses - Industry Feedback","All","Locally shared care records; hopefully those things in the long term plan will have been realized.","Data access and interoperability for the frontline",0.807
"461","Personalised Care Group Session Responses - Industry Feedback","All","Electronic econsult system which can connect to the shared care record for the local community","Data access and interoperability for the frontline",0.681
"462","Personalised Care Group Session Responses - Industry Feedback","All","Relevant organisations to be notified when there is a change to a patients health record; sharing integration.","Data access and interoperability for the frontline",0.421
"463","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","Increased cyber security capabilities and resilience","Data access and interoperability for the frontline",0.542
"464","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","Join services together through technology, allowing health and care providers to share information with one another and take a shared approach to procurement and implementation.","Data access and interoperability for the frontline",0.84
"465","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","The new Digital Health and Care Plan will go beyond existing commitments and will look ahead to what transformed and redesigned pathways will look like in 2032/33.","Data access and interoperability for the frontline",0.735
"466","Personalised Care Group Session Responses - DHCP PC Internal engagement","All","A single digital care record that is accessible to all parts of the NHS.​","Data access and interoperability for the frontline",0.494
"467","Personalised Care Group Session Responses - DHCP Sessions - Further Comments","All","All health and care staff across all areas of the NHS will understand what matters to people and will use this as the basis to personalise how care is managed and delivered.","Data access and interoperability for the frontline",0.758
"468","Personalised Care Group Session Responses - DHCP Sessions - Further Comments","All","The benefits of social prescribing and connecting people to community based provision to address wider determinants of health will be universally available with different levels of support available depending on need/personal circumstances.","Data access and interoperability for the frontline",0.649
"469","Personalised Care Group Session Responses - DHCP Sessions - Further Comments","All","Data will be shared in a way that is meaningful for people and personalised depending on their level of activation and health literacy.","Data access and interoperability for the frontline",0.572
"470","Personalised Care Group Session Responses - SCG session - lived experience","All","Digitalizing passports for patients, for example person centred health documents, for use in hospitals or the GP.","Data access and interoperability for the frontline",0
"471","Personalised Care Group Session Responses - Internal teams","All","There are digital systems that surface services and who is doing what and what the referral pathways are","Data access and interoperability for the frontline",0
"472","Personalised Care Group Session Responses - Industry Feedback","All","We need to focus on best of breed solutions and decouple the front end form the back end we need specialist national data collection.","Data access and interoperability for the frontline",0.71
"473","Personalised Care Group Session Responses - Industry Feedback","All","If we are to really make one shareable PCSP then we need a centralised function/aggregator that reads in and out – a national care plan data service, we’ll never achieve this is we are reliant on point to point between suppliers. We need a decoupling of services and to ensure everyone has equal access.","Data access and interoperability for the frontline",0.743
"474","Personalised Care Group Session Responses - Industry Feedback","All","We need to acknowledge, better utilise and trust data from patients so we move to care that is delivered with people not ‘to people’","Data access and interoperability for the frontline",0.856
"475","Personalised Care Group Session Responses - Industry Feedback","All","Data is currently in silo’s this needs to change, it needs to be open","Data access and interoperability for the frontline",0
"476","Personalised Care Group Session Responses - Industry Feedback","All","Flow of data and interoperability needs to be across regional boundaries as well as sector/organisations.","Data access and interoperability for the frontline",0.273
"477","Personalised Care Group Session Responses - Industry Feedback","All","Data storage and sharing of data needs to be standardised across the system (regions, organisations, VCS, LAs, service providers etc), and data needs to be openly available across systems and stakeholders; current lack of interoperability.","Data access and interoperability for the frontline",0.128
"478","Personalised Care Group Session Responses - Industry Feedback","All","Currently the system and data stored is very different, integrating data between products (So many suppliers and frameworks) you won't get a full and different picture. Needs integration touch points with task driven alerts","Data access and interoperability for the frontline",0
"479","Personalised Care Group Session Responses - Industry Feedback","All","GP Foundation systems are stifling innovation because the correct fields to enable write back from 3rd suppliers’ systems aren’t there, so 3rd parties have to upload pdfs. You can pull rudimentary data out of the systems, but they don’t have concepts of health objectives or health goals, or video, or recipes, etc.","Data access and interoperability for the frontline",0.419
"480","Personalised Care Group Session Responses - Industry Feedback","All","Federated authentication, authenticating to all related systems with a discrete data exchange","Data access and interoperability for the frontline",0
"481","Personalised Care Group Session Responses - Industry Feedback","All","Create off the shelf API’s. The core systems that frontline professionals are using, including social working approach should be one of like enabling equality, because the danger is that you end up with just 1000-point solutions. You know, if you want to connect your platform to process payments for example, then you have loads of payment providers that just do it for you and it's lovely little service and as their created it, they'll charge you a little bit for it. That's the sort of mechanism, very straightforward and simple and it's something you can do quickly. I think should be little bit harder because you probably do need a process. You need to like approve certain use cases and whatnot.","Data access and interoperability for the frontline",0.891
"482","Personalised Care Group Session Responses - Industry Feedback","All","That's kind of what the US has got, a program for interoperability and if you integrate with one American healthcare system then it will work for the other ones as they’ve kind of adopted the same standards actually, and it works. I'll be like an App Store which is quite good. If we're thinking of like 10 years for example, it should be quite straightforward for a developer of a software product to get their product into the hands of frontline professionals more quickly and not having really, really large barriers to entry which you currently do, because the because the process is so long, the API’s are so complicated, a lot of them are not cloud based, so it's a technical challenge as well versus some off the shelf things which you can't use easily, like plug and play API’s.","Data access and interoperability for the frontline",0.834
"483","Personalised Care Group Session Responses - Industry Feedback","All","Collaboration with regions and to be shared through a national database, to collate everyones sharing. Including standards for the actual sharing of data and care plans","Data access and interoperability for the frontline",0.881
"484","Personalised Care Group Session Responses - Industry Feedback","All","Centeralised care plan space for patients records to be easily accessible.","Data access and interoperability for the frontline",0.681
"485","Personalised Care Group Session Responses - DHCP Sessions - Further Comments","All","The way that data and information shared through people’s records, digital tools and services will be personalised so that it is provided in a way that best enables people to act on this and make an informed decision.","Data access and interoperability for the frontline",0.765
"486","26th April- People & Communities","All","Plea for interoperability - esp not speaking between primary and secondary care. Esp if travelling between different ICSs","Data access and interoperability for the frontline",0.494
"487","26th April- People & Communities","All","As unlike the present one as possible. Only way I can currently deal with patient reocrd is to make sure that I prvide the data and inist it is patient record. And try to correct the patient record when it is wrong. Working on 3 different system at the moment.","Data access and interoperability for the frontline",-0.202
"488","26th April- People & Communities","All","Should have consistency across country","Data access and interoperability for the frontline",0
"489","26th April- People & Communities","All","Need total system coordination that is joined up, for rare diseases, people with co-morbidities etc","Data access and interoperability for the frontline",0
"490","26th April- People & Communities","All","Shared decision-making toolkits that can be tailored for each condition so that people can coordinate with their clinicians to make the decision that is necessary in a seamless way","Data access and interoperability for the frontline",0.34
"491","26th April- People & Communities","All","Communication between multi disciplinary teams must be improved so that patients/service users and their families aren’t having to relay information for them during appointments. This can mean that it takes months for everyone to be up to speed.","Data access and interoperability for the frontline",0.477
"492","26th April- People & Communities","All","Data must be live/timely","Data access and interoperability for the frontline",0
"493","26th April- People & Communities","All","Please make sure all these digital ""things"" can talk to each other. If I am recording whatever I want my GP and consultant to see those etc","Data access and interoperability for the frontline",0.599
"494","26th April- People & Communities","All","Everyone needs to be onboard with the recording of information. Currently, some GPs allow patients to access more of their information than others.","Data access and interoperability for the frontline",0.226
"495","26th April- People & Communities","All","I think there may be two factors to consider: (1) General Data Protection Regulation compliance;","Data access and interoperability for the frontline",0
"496","26th April- People & Communities","All","The interface between the NHS and private healthcare is very problematic. Important these days, as care is often accessible only through the private sector (for those who have urgent needs that the NHS cannot meet)","Data access and interoperability for the frontline",0.438
"497","26th April- ABHI","All","We have a system where information is recorded in real time","Data access and interoperability for the frontline",0
"498","26th April- ABHI","All","Guidelines and standards for interoperability for industry and suppliers","Data access and interoperability for the frontline",0
"499","26th April- ABHI","All","Some of the barriers are interoperability, information governance, access to data.","Data access and interoperability for the frontline",0
"500","All DHCP mailbox comments","All","More than one person able to access all data points about patient condition","Data access and interoperability for the frontline",0
"501","All DHCP mailbox comments","All","GPs able to access patient records digital without help from patienyty","Data access and interoperability for the frontline",-0.309
"502","All DHCP mailbox comments","All","
Shared care records will only hold a set of data not all data held within organisations about an individuals care. They also aren't all embedded in core systems so can become another burden for professionals if we are not careful.","Data access and interoperability for the frontline",0.666
"503","All DHCP mailbox comments","All","Improve care - Ensure all organisations are interoperable.","Data access and interoperability for the frontline",0.827
"504","All DHCP mailbox comments","All","better communication between patient, specialist centres,
GP, pharmacies and all other NHS entities linked to this software
package","Data access and interoperability for the frontline",0.44
"505","All DHCP mailbox comments","All","new software system would ease communication between his local hospital, local GPs, other local
NHS providers and patients","Data access and interoperability for the frontline",0.361
"506","All DHCP mailbox comments","All","access to an open database","Data access and interoperability for the frontline",0
"507","6th April: Frontline digital leaders","People & Communities","we will be teaching how to use digital health diagnostics from med school to help workforce capability and culture","Digital readiness of the workforce and leadership",0.402
"508","6th April: Frontline digital leaders","People & Communities","Digitally confident staff (all levels)","Digital readiness of the workforce and leadership",0.494
"509","6th April: Frontline digital leaders","People & Communities","Digital 'MDT's should be flexible, dynamic and a continuous engagement - with patient at centre /contributing.","Digital readiness of the workforce and leadership",0.758
"510","6th April: Frontline digital leaders","People & Communities","all partners will have an equal role in the offer, registration and activation of a toolkit e.g. pharmacy to help consistency and equitable offers","Digital readiness of the workforce and leadership",0.402
"511","6th April: Frontline digital leaders","People & Communities","Feel supported by central professional services.","Digital readiness of the workforce and leadership",0.318
"512","6th April: Frontline digital leaders","People & Communities","2)  Outpatient appointment will be based on need using effective PIFU, enabling clinicians to spend their  time with patients who need  their time","Digital readiness of the workforce and leadership",0.477
"513","6th April: Frontline digital leaders","Health & Care Workforce","An engaged digitally literate clinical workforce with the skills to manage/understand data","Digital readiness of the workforce and leadership",0.402
"514","6th April: Frontline digital leaders","Health & Care Workforce","The workforce have the right skills to use digital systems to deliver new models of care","Digital readiness of the workforce and leadership",0.494
"515","6th April: Frontline digital leaders","Health & Care Workforce","Digital skills form part of the core training for clinicians and non-clinicians, with a clear link to the delivery of safe and high quality care","Digital readiness of the workforce and leadership",0.827
"516","6th April: Frontline digital leaders","Health & Care Workforce","There is a clear link from new models of care (e.g. changed outpatient model) there is a clear link to how digital supports this and training is provided as part of the implementation.","Digital readiness of the workforce and leadership",0.872
"517","6th April: Frontline digital leaders","Health & Care Workforce","This needs to be delivered to ensure differing levels of digital skills and capability  is acknowledged  and catered for e.g. physical ability, neuro-diversity, etc...)","Digital readiness of the workforce and leadership",0.599
"518","6th April: Frontline digital leaders","Health & Care Workforce","Enhanced support for the workforce including from basics up, digital literacy has been identified as an issue within healthcare, it would be good to be able to provide support with this going forward","Digital readiness of the workforce and leadership",0.807
"519","6th April: Frontline digital leaders","Health & Care Workforce","2)A workforce able to do what they need to do themselves without asking someone else to do so.","Digital readiness of the workforce and leadership",0
"520","6th April: Frontline digital leaders","Health & Care Workforce","Able to work flexibly from anywhere with access to all tools needed","Digital readiness of the workforce and leadership",0.318
"521","6th April: Frontline digital leaders","Health & Care Workforce","Investment in people to achieve these targets, as well as training/ development/ certification ","Digital readiness of the workforce and leadership",0.273
"522","6th April: Frontline digital leaders","Health & Care Workforce","The primary issue if 'digitising the staff' who do not use systems as anticipated. This should be the focus","Digital readiness of the workforce and leadership",0
"523","6th April: Frontline digital leaders","Health & Care Workforce","Non-clinical staff will work from ICS hubs or home offices","Digital readiness of the workforce and leadership",0
"524","6th April: Frontline digital leaders","Health & Care Workforce","Shared learning record for staff","Digital readiness of the workforce and leadership",0.34
"525","6th April: Frontline digital leaders","Health & Care Workforce","Clinicians won't have to physically be in hospital to connect/deliver care to patients","Digital readiness of the workforce and leadership",0.494
"526","6th April: Frontline digital leaders","Health & Care Workforce","Training","Digital readiness of the workforce and leadership",0
"527","6th April: Frontline digital leaders","Health & Care Workforce","Mandatory training for digital with workforces","Digital readiness of the workforce and leadership",0.077
"528","6th April: Frontline digital leaders","Health & Care Workforce","improve digital relationships with Nursing and care homes and Secondary care","Digital readiness of the workforce and leadership",0.852
"529","6th April: Frontline digital leaders","Health & Care Workforce","we need to be agile to approach and have less barierrs","Digital readiness of the workforce and leadership",0
"530","6th April: Frontline digital leaders","Health & Care Workforce","We need to ensure there is a digital literacy programme for patients and staff which is well thought out and doesn't lead to further inequalities","Digital readiness of the workforce and leadership",0.572
"531","6th April: Frontline digital leaders","Health & Care Workforce","Need to pay the informatics workforce a pay band that matches private sectors so that we can recruit and retain the technical staff","Digital readiness of the workforce and leadership",-0.202
"532","6th April: Frontline digital leaders","Health & Care Workforce","Digital capabilities - base line of of staff capabilities","Digital readiness of the workforce and leadership",0
"533","6th April: Frontline digital leaders","Health & Care Workforce","Definition of digital maturity for the NHS is needed","Digital readiness of the workforce and leadership",0
"534","6th April: Frontline digital leaders","Health & Care Workforce","Digital Champions (super users) established in the workplace who are digitally savvy and know the full (sometimes not obvious) capabilities of the solutions so as to promote use of the system and collect development","Digital readiness of the workforce and leadership",0.897
"535","6th April: Frontline digital leaders","Health & Care Workforce","Digital literacy ongoing training to ensure that all the workforce is kept up to speed with how to use the technology and exploit ALL the capacities of the solution in use.","Digital readiness of the workforce and leadership",0.542
"536","6th April: Frontline digital leaders","Health & Care Workforce","full skills and knowledge required to continue to  innovate and transform","Digital readiness of the workforce and leadership",0.494
"537","6th April: Frontline digital leaders","Health & Care Workforce","The workforce is supported through any transformation","Digital readiness of the workforce and leadership",0.318
"538","6th April: Frontline digital leaders","Health & Care Workforce","Processes and people are changed, and digital enables them","Digital readiness of the workforce and leadership",0
"539","6th April: Frontline digital leaders","Health & Care Workforce","Must look at how staff having the time and space to step away and using digital to change pathways","Digital readiness of the workforce and leadership",0
"540","6th April: Frontline digital leaders","Health & Care Workforce","Digital literacy of staff needs to be embedded approach with other key strategies - then this needs to aligned to the end user","Digital readiness of the workforce and leadership",0
"541","6th April: Frontline digital leaders","Health & Care Workforce","Workforce are able to exploit digital capabilities through improved digital literacy e.g. M365. This includes making sure the technology is intuitive and training for workforce is standardised (broader change management). Really looking back at business process mapping.","Digital readiness of the workforce and leadership",0.612
"542","6th April: Frontline digital leaders","People & Communities","A single, endorsed definition of Digital Transformation will be adopted across digital health and care. (The Tom Loosemore definition is useful but misses the fundamental around data)","Digital readiness of the workforce and leadership",0.296
"543","6th April: Frontline digital leaders","Health & Care Workforce","Embed in curriculum for clinical staff, management trainee schemes and mandatory training  linked to AfC progression","Digital readiness of the workforce and leadership",0.077
"544","6th April: Frontline digital leaders","Health & Care Workforce","This  may benefit from development by NHSE/HEE sponsorship","Digital readiness of the workforce and leadership",0.459
"545","6th April: Frontline digital leaders","Health & Care Workforce","Investment in OD and training for workforce","Digital readiness of the workforce and leadership",0
"546","6th April: Frontline digital leaders","Health & Care Workforce","1) General implementation training/development programmes for digital and non-digitalstaff to enable change ","Digital readiness of the workforce and leadership",0
"547","6th April: Frontline digital leaders","Health & Care Workforce","Accountable leadership strategies, with quality collaborative  networking and shared  specialist resources","Digital readiness of the workforce and leadership",0.34
"548","6th April: Frontline digital leaders","Health & Care Workforce","Leaders should have quality and training assessments","Digital readiness of the workforce and leadership",0
"549","6th April: Frontline digital leaders","Health & Care Workforce","2) Local Digital Specialist teams enabled to help create visions where needed quickly and easily ","Digital readiness of the workforce and leadership",0.796
"550","6th April: Frontline digital leaders","Health & Care Workforce","Recognising that the NHS is a digital organisation and needs to have that experience top to bottom","Digital readiness of the workforce and leadership",0.202
"551","6th April: Frontline digital leaders","Health & Care Workforce","Procurement of equipment, increased ability/skills in the workforce to create the links with the EPR, we just don't have enough people/resource to be able to do this at great speed currently, also approved supplies for kit to go into community","Digital readiness of the workforce and leadership",0.878
"552","6th April: Frontline digital leaders","Health & Care Workforce","Investment in transformation expertise e.g. Business Analysis, Change Support (non-technical)","Digital readiness of the workforce and leadership",0.402
"553","6th April: Frontline digital leaders","Health & Care Workforce","Bring the IG and clinical leadership discussion together.","Digital readiness of the workforce and leadership",0
"554","6th April: Frontline digital leaders","Health & Care Workforce","Clearer lines of governance and less duplication of working groups and meetings","Digital readiness of the workforce and leadership",0
"555","6th April: Frontline digital leaders","Health & Care Workforce","2) Change Management valued in senior leadership and business case (JIC) approval","Digital readiness of the workforce and leadership",0.718
"556","6th April: Frontline digital leaders","Health & Care Workforce","2) change management to standardise and make clear  processes","Digital readiness of the workforce and leadership",0.382
"557","6th April: Frontline digital leaders","Health & Care Workforce","National approach to interoperability - patients move across boundaries","Digital readiness of the workforce and leadership",0
"558","6th April: Frontline digital leaders","Health & Care Workforce","Digital leadership for the System at ICB level","Digital readiness of the workforce and leadership",0
"559","6th April: Frontline digital leaders","Health & Care Workforce","Sufficient skills and resources need to be in place to implement these transformational programmes - not only digital and data skills, but also experience in pathway review and change management are needed. Currently limited so need to increase and train people early.","Digital readiness of the workforce and leadership",0.249
"560","6th April: Frontline digital leaders","Health & Care Workforce","Digital Change Framework model required","Digital readiness of the workforce and leadership",0
"561","6th April: Frontline digital leaders","Health & Care Workforce","Upskilling staff: input from HEE on developing training courses on health informatics would be useful. At the moment upskilling is happening via Digital Skills Networks","Digital readiness of the workforce and leadership",0.44
"562","6th April: Frontline digital leaders","Health & Care Workforce","Culture and mindset still needs to change - NHS processes and people outdate the capabilities of modern technology.","Digital readiness of the workforce and leadership",0
"563","6th April: Frontline digital leaders","Health & Care Workforce","Ok to focus on digital leadership CIO, CNIO etc but it’s actually front-line leaders that deliver","Digital readiness of the workforce and leadership",0.178
"564","6th April: Frontline digital leaders","Health & Care Workforce","Funding and support for change management","Digital readiness of the workforce and leadership",0.402
"565","6th April: Frontline digital leaders","People & Communities","Need to have a central pool of digital transformation staff  (change, PMs, Benefits realisation etc) who can go from hospital to hospital, rather than compete for staff.","Digital readiness of the workforce and leadership",0.382
"566","6th April: Frontline digital leaders","People & Communities","A pipeline of staff","Digital readiness of the workforce and leadership",0
"567","6th April: Frontline digital leaders","People & Communities","Digital Clinical Leaders (need for all initiatives)","Digital readiness of the workforce and leadership",0
"568","6th April: Frontline digital leaders","People & Communities","Projects / Programmes must be clinically lead - not digitally lead","Digital readiness of the workforce and leadership",0
"569","6th April: Frontline digital leaders","People & Communities","Staff still need to have more training and engagement with digital solutions, digital illliteracy is still an issue in clinical services","Digital readiness of the workforce and leadership",0.608
"570","6th April: Frontline digital leaders","People & Communities","1)Engaged  and invested staff & public","Digital readiness of the workforce and leadership",0
"571","6th April: Frontline digital leaders","People & Communities","3) guidance","Digital readiness of the workforce and leadership",0
"572","6th April: National stakeholders","NHS Workforce","workforce able to provide patients with education, information and support","Digital readiness of the workforce and leadership",0.402
"573","6th April: National stakeholders","NHS Workforce","Workforce will have received appropriate education and training to feel confident using digital tools with their patients and colleagues (training and support needs also identified and supported throughout career) ","Digital readiness of the workforce and leadership",0.802
"574","6th April: National stakeholders","NHS Workforce","Workforce has appropriate time/ support/ resources to implement technology with patients (support from local organisations/ Boards and non-clinical workforce like data analysts/ evaluators)","Digital readiness of the workforce and leadership",0.785
"575","6th April: National stakeholders","NHS Workforce","Workforce will have access to high quality and easy to use technology/ software regardless of setting/ specialty as well as connectivity ","Digital readiness of the workforce and leadership",0.612
"576","6th April: National stakeholders","NHS Workforce","NHS staff will feel confident in using different technologies, including data skills","Digital readiness of the workforce and leadership",0.494
"577","6th April: National stakeholders","NHS Workforce","3) NHS staff will feel like they've been included and engaged in the development of digital services ","Digital readiness of the workforce and leadership",0.637
"578","6th April: National stakeholders","NHS Workforce","Staff receive sufficient training early on in their career and opportunities for continual training and development so they feel confident using digital tools","Digital readiness of the workforce and leadership",0.724
"579","6th April: National stakeholders","NHS Workforce","Workforce is capable and agile - the right people in the right place","Digital readiness of the workforce and leadership",0.382
"580","6th April: National stakeholders","Social Care Workforce","ASC workforce have been upskilled at all levels on digi tech- soical workers but also commissioners and IT specialists ","Digital readiness of the workforce and leadership",0
"581","6th April: National stakeholders","NHS Workforce","workforce able to access, use and prescribe education and information from a range of different sources","Digital readiness of the workforce and leadership",0
"582","6th April: National stakeholders","NHS Workforce","digital core part of healthcare education - not just how to use tech but how to integrate it into working practices/ use it most effectively e.g. when to use remote consultation","Digital readiness of the workforce and leadership",0.647
"583","6th April: National stakeholders","NHS Workforce","Proper training for staff (see left(, including on IG and the workforce has the time to do this.","Digital readiness of the workforce and leadership",0
"584","6th April: National stakeholders","NHS Workforce","Properly resourced and ongoing training and education in both the technologies and the reasons that they are used","Digital readiness of the workforce and leadership",0
"585","6th April: National stakeholders","NHS Workforce","Education, ongoing training & action to improve foundations (see left again)","Digital readiness of the workforce and leadership",0.44
"586","6th April: National stakeholders","NHS Workforce","3) health and care staff, and representative organisations involved from the outset in the design, planning and implementation of tech so it works for them and not against them ","Digital readiness of the workforce and leadership",0.494
"587","6th April: National stakeholders","NHS Workforce","Staff are allowed the time to do the training (rather than learn on the job)","Digital readiness of the workforce and leadership",0
"588","6th April: National stakeholders","NHS Workforce","There is good engagement to help staff understand why changes are being made and what the benefits are to them and wider system (such as benefits of data collection)","Digital readiness of the workforce and leadership",0.915
"589","6th April: National stakeholders","NHS Workforce","Staff know what they can access in ways of information and education","Digital readiness of the workforce and leadership",0
"590","6th April: National stakeholders","NHS Workforce","Strong leadership (political and in the NHS) to drive this","Digital readiness of the workforce and leadership",0.511
"591","6th April: National stakeholders","People & Communities","Joined up system approach between health and care","Digital readiness of the workforce and leadership",0.494
"592","6th April: National stakeholders","Social Care Workforce","need to develop and expand skills frameworks and resources across to ASC","Digital readiness of the workforce and leadership",0.318
"593","6th April: National stakeholders","Social Care Workforce","Need governance and leadership across ICS to work across the whole system rather than focus on acute","Digital readiness of the workforce and leadership",0
"594","6th April: National stakeholders","Social Care Workforce","1) More development opportunities, access to funding to backfill time etc, better integration with ICS to allow for access to opportunities There is a shared understanding of what Health is and what Social Care is.","Digital readiness of the workforce and leadership",0.931
"595","6th April: National stakeholders","Social Care Workforce","Strategic use of training funding; better progression and ideally pay to stop upskilled workers leaving sector","Digital readiness of the workforce and leadership",0.477
"596","6th April: National stakeholders","Social Care Workforce","We have confidence in all forms of communication (e-mails, etc) and high standards implemented across all services)","Digital readiness of the workforce and leadership",0.511
"597","6th April: National stakeholders","Social Care Workforce","Language - need a language that everyone in social care can understand.","Digital readiness of the workforce and leadership",0.494
"598","7th April: Frontline other (Workshop 1)","All","2) I feel i have all the right info and access to other professionals  available to manage a patient ","Digital readiness of the workforce and leadership",0
"599","7th April: Frontline other (Workshop 1)","All"," Digital analysts who are able to work between the frontline users/patients and the  developers","Digital readiness of the workforce and leadership",0
"600","7th April: Frontline other (Workshop 1)","All","More business Analysis around processes to make the solutions intuitive and use centred","Digital readiness of the workforce and leadership",0.178
"601","7th April: Frontline other (Workshop 1)","All","Analysts can also bridge the gap between developers and services. We have to find a way to bring in the best possible talent in the same way industry does.","Digital readiness of the workforce and leadership",0.791
"602","13th April: Frontline other","All","1)NHS/H&SC seamless","Digital readiness of the workforce and leadership",0
"603","13th April: Frontline other","All","Different NHS and care organisation boundaries should not be visible","Digital readiness of the workforce and leadership",0.494
"604","13th April: Frontline other","All","more determinants of health data to understand what's driving health and health inequalities","Digital readiness of the workforce and leadership",0
"605","13th April: Frontline other","All","expert leadership with national clinical lead and patient involvement ","Digital readiness of the workforce and leadership",0
"606","13th April: Frontline other","All","alternatives to digital access that are equally easy to navigate and are focused on insight into digital inclusion issues ","Digital readiness of the workforce and leadership",0.67
"607","13th April: Frontline other","All","Consistency of message and strategy.","Digital readiness of the workforce and leadership",0
"608","13th April: Frontline other","All","Education and Training plus burden of responsibility and standards","Digital readiness of the workforce and leadership",-0.44
"609","13th April: Frontline digital leaders","All","Coordinate providers better to make them work together","Digital readiness of the workforce and leadership",0.44
"610","13th April: Frontline digital leaders","All","1) Consolidate on/expand what has worked well, discard what hasn't worked well","Digital readiness of the workforce and leadership",-0.181
"611","13th April: Frontline digital leaders","All","clear diigtal career progression pathway","Digital readiness of the workforce and leadership",0.382
"612","13th April: Frontline digital leaders","All","Digitally literate staff, patients and people, confident to use the services and tools available to them and know how to navigate the system","Digital readiness of the workforce and leadership",0.494
"613","13th April: Frontline digital leaders","All","7) the right clinical staff are available at the right time ","Digital readiness of the workforce and leadership",0
"614","13th April: Frontline digital leaders","All","Cultural change, business processes ","Digital readiness of the workforce and leadership",0
"615","13th April: Frontline digital leaders","All","5). Digital understanding between specialties  ","Digital readiness of the workforce and leadership",0
"616","13th April: Frontline digital leaders","All","3) Communication is better","Digital readiness of the workforce and leadership",0.44
"617","13th April: Frontline digital leaders","All","3) NRT actionable insight driving our plans, priorities and actions","Digital readiness of the workforce and leadership",0
"618","13th April: Frontline digital leaders","All","1) Completely transformed use of estates, FM & meds mgt","Digital readiness of the workforce and leadership",0
"619","13th April: Frontline digital leaders","All","Training for staff and citizens and also hubs in community settings so travel to big acutes isn't needed.  Governance to support further.","Digital readiness of the workforce and leadership",0.402
"620","13th April: Frontline digital leaders","All","Organisations made to share data","Digital readiness of the workforce and leadership",0.296
"621","13th April: Frontline digital leaders","All","2) More emphasis on the education and provision of information to patients and citizens ","Digital readiness of the workforce and leadership",0
"622","13th April: Frontline digital leaders","All","3) future workforce of all roles to have digital skills during college years","Digital readiness of the workforce and leadership",0
"623","13th April: Frontline digital leaders","All","Digital literacy for all staff to build confidence and use, and linked to to good design. Trade off IT support services with good co-design","Digital readiness of the workforce and leadership",0.896
"624","13th April: Frontline digital leaders","All","Data analysis expertise","Digital readiness of the workforce and leadership",0
"625","13th April: Frontline digital leaders","All","APIs","Digital readiness of the workforce and leadership",0
